426,BUKVA 3381          ,19000,1700500,403000
427,Hr Marcato K4337AW  ,19000,2800000,770000
428,SLONOVACA 2514      ,19000,1560000,680000
429,Hr Marcato K4337AW  ,19000,2800000,770000
430,CHILI CRVENA 27113  ,19000,2070000,1100000
431,ORANGE 27121        ,19000,2070000,1000000
432,AMOUK 38543         ,19000,2800000,400000
433,MCR 5881            ,19000,2070000,1200000
435,Limun Zeleni 25519BS,19000,1760000,530000
436,Bijeli God 1101AW   ,19000,2170000,410000
437,SLJIVA 37771        ,19000,2800000,410000
438,BRIJEST 37965       ,19000,2800000,1290000
439,RUBY CRV SJAJ 318SG ,19000,1400000,840000
440,HRAST AMAZONA 37713 ,19000,2800000,1230000
441,RUBY CRVENI 318FH   ,19000,2800000,781000
442,BEIGE GOD 27049SU   ,19000,2800000,700000
443,Orah Zarrel K4327NM ,19000,2800000,1080000
444,Hr Tabbacco K4334AW ,19000,2070000,850000
445,BIJELI NK 1500P     ,19000,1280500,2070000
446,Jasen Nord K4343NM  ,19000,2800000,450000
447,BIJELI SJAJ 17005G  ,19000,2800000,1110500
448,LAVANDA 27187       ,19000,2070000,900000
449,BIJELI NK 1500P     ,19000,2800000,803000
451,Hr Prirodni 37307PR ,19000,1960000,990000
452,ORAH ZINGARO 37458  ,19000,2800000,700000
453,Hr Alp Kamen K4326AW,19000,2220000,690000
454,BIJELI 1630 FH FUND ,19000,2460000,670000
455,ORAH ZINGARO 37458  ,19000,2800000,730000
456,Mah.Sapeli 37489 BS ,19000,2800000,540000
457,Wenge Gondou 37710BS,19000,2080000,700000
458,Hr Alp Snjez K4325AW,19000,2800000,920000
459,0080MR Crni god     ,19000,2820000,560000
460,0085SG Sjaj Bijela  ,19000,1550000,960000
461,Hr Tabbacco K4334AW ,19000,1640000,720000
462,Hr Mongori 37745AT  ,19000,2800000,460000
463,AHORN MURNAU 3306   ,19000,1860000,570000
464,MASLINA 37762       ,19000,2070000,830000
465,CABANA 27165BS      ,19000,1650000,1100000
466,Jasen Nord K4343NM  ,19000,2800000,696500
467,0085SG Sjaj Bijela  ,19000,1355500,2050000
468,BIJELI GL 1500S     ,19000,2060000,1070000
469,SLON SJAJ FUNDER    ,19000,2800000,982000
470,SLJIVA 37771        ,19000,1630000,460000
471,SVJETLO SIVI 2112   ,19000,2800000,460000
472,HRAST CLASSIC 34140 ,19000,2070000,530000
473,JELA 3396           ,19000,2800000,1230000
474,HEMLOCK N 34032SV   ,19000,2800000,750000
475,Hr Quartz K4324SE   ,19000,2800000,800000
476,Bor Kodiak 34308AT  ,19000,2800000,970000
477,MAGNOLIJA GOD 2507SU,19000,2560000,1320000
478,ORAH ZINGARO 37458  ,19000,1910000,420000
479,BEIGE CRY 27049DC   ,19000,1730000,490000
480,HRAST MOCV 37717 AT ,19000,2800000,420000
481,BIJELI GOD 1101AT   ,19000,2800000,448500
482,AMOUK 38543         ,19000,2800000,1030000
483,BUKVA 3381          ,19000,2800000,550000
484,ARTIC W SJAJ 606SG  ,19000,2080000,480000
485,PINK FUNDER 51FH    ,19000,2070000,1350000
486,VIOLA 27167         ,19000,2800000,1400000
487,Hr Tabbacco K4334AW ,19000,1810000,670000
488,Hem Arktique 34092SV,19000,2800000,1360000
489,AMOUK 38543         ,19000,2800000,1200000
490,CHILI CRVENA 27113  ,19000,2070000,800000
491,Bijeli God 1101AW   ,19000,2800000,1090000
492,BIJELI NK 1500P     ,19000,963500,2070000
493,CRNA SJAJ FUNDER    ,19000,2080000,960000
495,Vanilija 27123 NM   ,19000,2800000,1410000
496,BIJELI SJAJ 17005G  ,19000,2096000,1242000
497,CABANA 27165BS      ,19000,1360000,500000
498,TITAN 5853          ,19000,970000,1750000
499,Hr Quartz K4324SE   ,19000,2800000,770000
500,ORAH CALABRIA 37754 ,19000,2800000,1140000
